Date et heure,Adresse MAC,Emplacement,Temperature
2025-09-29 11:27:18,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:27:20,b8:27:eb:a2:f4:62,Poste 4,55.2
2025-09-29 11:27:22,b8:27:eb:a2:f4:62,Poste 4,55.2
2025-09-29 11:27:24,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:27:26,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:27:28,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:27:30,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:27:32,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:27:34,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:27:36,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:27:38,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:27:40,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:27:42,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:27:44,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:27:46,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:27:48,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:27:50,b8:27:eb:a2:f4:62,Poste 4,54.2
2025-09-29 11:27:52,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:27:54,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:27:56,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:27:58,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:28:00,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:28:02,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:28:04,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:28:06,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:28:08,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:28:10,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:28:12,b8:27:eb:a2:f4:62,Poste 4,55.2
2025-09-29 11:28:14,b8:27:eb:a2:f4:62,Poste 4,55.2
2025-09-29 11:28:16,b8:27:eb:a2:f4:62,Poste 4,55.2
2025-09-29 11:28:18,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:28:20,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:28:22,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:28:24,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:28:26,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:28:28,b8:27:eb:a2:f4:62,Poste 4,55.8
